website_session_id,user_id,utm_source,utm_campaign,utm_content,device_type,http_referer
20,20,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
104,104,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
147,147,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
160,160,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
177,177,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
232,232,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
241,241,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
295,295,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
304,304,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
317,317,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
321,321,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
327,327,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
332,332,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
336,336,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
428,428,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
434,434,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
465,465,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
507,507,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
536,536,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
615,615,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
639,639,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
732,732,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
750,750,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
783,783,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
844,844,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
908,908,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
909,909,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
940,940,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
954,954,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1018,1016,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1023,1021,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1059,1055,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1081,1077,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
1094,1090,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1098,1094,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1105,1101,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1107,1103,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1125,1121,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
1243,1238,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1256,1251,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1330,1325,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1343,1337,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1419,1412,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
1454,1447,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1463,1456,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
1581,1574,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1605,1598,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1643,1635,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1646,1638,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1654,1646,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1685,1677,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1691,1683,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1709,1701,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1726,1718,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1729,1721,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
1790,1782,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1802,1794,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1807,1799,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1823,1815,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1863,1855,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1890,1882,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1912,1902,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1939,1929,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
1944,1934,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2036,2025,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2089,2076,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2102,2089,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2115,2102,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2210,2196,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2231,2217,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2262,2247,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2291,2276,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2295,1752,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
2325,2309,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2392,2376,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
2422,2405,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2431,2414,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2514,2495,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2522,2503,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2624,383,NULL,NULL,NULL,mobile,NULL
2668,2644,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2770,2746,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
2810,2786,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2879,2854,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2942,2916,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
2982,2956,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3000,2972,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3040,3012,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3044,3016,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3077,3048,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3082,3053,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3137,3107,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3139,3109,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3147,3116,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3188,3157,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3189,3158,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3208,3177,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3247,3215,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
3295,3263,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3299,3267,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3318,3285,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3322,3289,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3421,3386,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3446,3411,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3496,3460,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3604,3565,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3618,3579,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3642,3602,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3683,3642,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3689,3648,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
3746,3703,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3765,3722,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3789,811,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
3807,3761,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3873,3824,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3947,3895,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4100,4047,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4119,4065,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
4130,4076,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4136,4082,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
4140,4086,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4224,3313,NULL,NULL,NULL,desktop,NULL
4232,4174,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
4235,4177,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4249,4191,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4258,167,NULL,NULL,NULL,mobile,NULL
4372,455,NULL,NULL,NULL,desktop,NULL
4420,4346,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
4437,4362,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4490,755,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
4501,4423,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4531,59,NULL,NULL,NULL,desktop,https://www.gsearch.com
4559,4474,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
4566,4480,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4567,4481,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4605,4519,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4620,4533,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4685,4590,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4770,4674,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
4801,4704,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4815,4718,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4828,4728,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4878,4774,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4881,4777,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4889,4785,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4923,2368,NULL,NULL,NULL,desktop,https://www.gsearch.com
4943,4832,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4951,4840,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4952,3291,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
5054,4933,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5065,210,NULL,NULL,NULL,mobile,NULL
5151,13,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
5252,5116,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5270,5134,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5292,5154,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5297,5158,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5386,5243,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
5458,5312,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5538,5387,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5619,5461,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5650,5488,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5654,876,NULL,NULL,NULL,desktop,NULL
5663,4038,NULL,NULL,NULL,desktop,NULL
5705,5539,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5820,5640,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
5830,5649,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5870,5688,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5873,5691,NULL,NULL,NULL,desktop,NULL
5925,3057,NULL,NULL,NULL,desktop,NULL
5927,2617,NULL,NULL,NULL,desktop,https://www.gsearch.com
5976,5788,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5987,5797,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6017,5824,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6036,5840,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6056,5858,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
6123,5918,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6481,6237,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6487,6242,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
6536,6288,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6539,6291,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6562,6313,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6571,6322,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6603,6352,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6614,2020,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
6629,6374,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6637,6381,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6692,6433,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6765,6500,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6781,6515,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6836,6565,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6889,5115,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
6927,6648,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
6993,6711,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7018,6732,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7035,6747,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7042,6754,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7140,3659,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
7144,6841,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7175,6869,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7178,3123,NULL,NULL,NULL,desktop,NULL
7179,6872,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7188,6880,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7191,6882,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7240,6929,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7245,872,NULL,NULL,NULL,desktop,https://www.bsearch.com
7263,6948,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7311,6994,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7312,6995,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
7421,7097,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
7507,7176,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
7528,7195,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7577,4607,NULL,NULL,NULL,mobile,NULL
7590,7248,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7597,3264,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
7604,7260,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7663,7314,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7710,7355,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7734,7379,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7787,7425,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7792,7430,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7795,7432,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7820,7455,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7864,7498,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7906,7533,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7947,7569,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7973,7594,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7978,7599,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8001,4430,NULL,NULL,NULL,desktop,NULL
8011,7630,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8060,1997,NULL,NULL,NULL,desktop,https://www.gsearch.com
8130,7735,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8265,4098,NULL,NULL,NULL,mobile,NULL
8272,7867,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8435,8016,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8447,8026,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8479,8053,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8480,8054,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8519,8090,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8543,8114,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8546,8116,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8569,8136,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8642,8202,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8643,8203,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8656,8216,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8694,8250,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8738,8289,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8748,8299,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8766,8314,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8810,8353,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8874,8409,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8903,8436,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8905,8438,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8921,8453,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8953,8484,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
8963,8493,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8971,8501,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9020,8548,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9032,8559,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9042,8567,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9073,8594,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9166,8676,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
9176,8684,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9193,8701,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
9216,8721,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9240,7771,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
9294,8792,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9342,8836,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9363,8855,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9412,8898,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9413,8899,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9428,8911,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9460,8941,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9467,8948,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9514,8992,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9547,9022,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9562,9033,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
9568,9038,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9590,4154,NULL,NULL,NULL,desktop,NULL
9592,9057,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
9617,9082,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9735,9182,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
9765,9209,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9769,9213,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9779,9222,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9819,9259,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9849,9284,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9915,9342,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9932,9357,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9942,9364,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
